id,categoria,nivel,tags,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion,cita_biblica
327,Personajes,avanzado,profeta-anciano,"¿Qué profeta de Israel dio testimonio de Jesús cuando era presentado en el templo como niño, diciendo que podía morir en paz?",Simeón,Zacarías,Nicodemo,Gamaliel,A,"Simeón, hombre justo y piadoso, tomó al niño Jesús en sus brazos y bendijo a Dios diciendo que ya podía morir en paz.",Lucas 2:25-32
328,Personajes,avanzado,profetisa-anciana,¿Qué profetisa de edad avanzada también dio testimonio de Jesús en el templo al ser presentado como niño?,Ana,Débora,Hulda,Noadías,A,"Ana, profetisa de edad avanzada que servía en el templo día y noche, dio gracias a Dios y habló del niño a todos los que esperaban la redención.",Lucas 2:36-38
329,Personajes,experto,farisero-nocturno,"¿Qué fariseo, miembro del concilio judío, visitó a Jesús de noche para hacerle preguntas?",Gamaliel,Nicodemo,José de Arimatea,Simón el fariseo,B,"Nicodemo, un principal entre los judíos, vino a Jesús de noche y tuvo con él el diálogo sobre nacer de nuevo.",Juan 3:1-2
330,Personajes,experto,sepultura-jesus,¿Qué miembro rico del concilio pidió el cuerpo de Jesús a Pilato para sepultarlo en su propio sepulcro nuevo?,Nicodemo,José de Arimatea,Simón de Cirene,Lázaro,B,"José de Arimatea, discípulo secreto de Jesús, pidió su cuerpo a Pilato y lo puso en su sepulcro nuevo.",Mateo 27:57-60
331,Personajes,experto,maestro-sanedrin,"¿Qué doctor de la ley, miembro del concilio, defendió a los apóstoles aconsejando prudencia ante el Sanedrín?",Nicodemo,Gamaliel,Caifás,Anás,B,"Gamaliel, doctor de la ley venerado por todo el pueblo, aconsejó dejar en paz a los apóstoles, pues si su obra era de Dios no podría ser destruida.",Hechos 5:34-39
332,Personajes,experto,primer-diacono-martir,¿Cuántos hombres fueron elegidos originalmente para servir como los primeros diáconos en la iglesia primitiva?,5,7,12,3,B,"La iglesia escogió a siete hombres de buen testimonio, llenos del Espíritu Santo, para servir en la distribución diaria, entre ellos Esteban.",Hechos 6:3-5
333,Personajes,experto,evangelista-samaria,¿Qué diácono y evangelista predicó con gran avivamiento en Samaria y luego evangelizó al eunuco etíope?,Esteban,Felipe,Nicolás,Prócoro,B,"Felipe, uno de los siete diáconos, descendió a Samaria y predicó a Cristo, y luego fue guiado a evangelizar al eunuco etíope.","Hechos 8:5,26-27"
334,Personajes,experto,centurion-conversion,¿Qué centurión romano fue el primer gentil registrado en recibir el Espíritu Santo y ser bautizado?,Julio,Cornelio,Longinos,Claudio Lisias,B,"Cornelio, centurión de la compañía llamada la Italiana, temeroso de Dios, recibió la visita de Pedro y fue bautizado junto con su casa.","Hechos 10:1-2,44-48"
335,Personajes,experto,profetas-antioquia,"En Hechos 13, ¿qué profetas y maestros de la iglesia de Antioquía apartaron a Bernabé y Saulo para la obra misionera?","No se mencionan nombres, solo un grupo genérico","Simón el Negro, Lucio de Cirene y Manaén, entre otros",Solo Pedro y Juan,Los doce apóstoles en pleno,B,"El texto nombra a Bernabé, Simón el que se llamaba Negro, Lucio de Cirene, Manaén y Saulo como profetas y maestros en la iglesia de Antioquía.",Hechos 13:1-2
336,Personajes,experto,primer-misionero-europa,"¿En qué ciudad europea predicó Pablo por primera vez, tras la visión del varón macedonio?",Atenas,Filipos,Corinto,Tesalónica,B,"Tras la visión de un varón macedonio pidiéndole ayuda, Pablo llegó primero a Filipos, colonia romana en Macedonia.",Hechos 16:9-12
337,Personajes,experto,discurso-atenas,¿En qué lugar de Atenas predicó Pablo su famoso discurso sobre 'el Dios no conocido'?,El templo de Zeus,El Areópago,El ágora comercial,El teatro de Dionisio,B,"Pablo fue llevado al Areópago, donde predicó sobre el Dios desconocido al que los atenienses habían erigido un altar.",Hechos 17:19-23
338,Personajes,experto,platero-efeso,¿Qué platero de Éfeso provocó un alboroto contra Pablo por temor a perder ganancias con la venta de templecillos de Diana?,Demetrio,Alejandro,Tirano,Erasto,A,"Demetrio, platero que hacía templecillos de plata de Diana, reunió a los obreros y provocó un alboroto en Éfeso contra la predicación de Pablo.",Hechos 19:24-28
339,Personajes,experto,naufragio-pablo,¿En qué isla naufragó el barco en que viajaba Pablo como prisionero rumbo a Roma?,Chipre,Malta,Creta,Rodas,B,"Después de catorce días a la deriva, el barco encalló y todos llegaron salvos a tierra en la isla de Malta.",Hechos 27:39-44; 28:1
340,Personajes,experto,gobernadores-pablo,¿Ante qué dos gobernadores romanos sucesivos fue presentado Pablo como prisionero en Cesarea?,Pilato y Herodes,Félix y Festo,Galión y Sergio Paulo,Claudio Lisias y Julio,B,"Pablo fue llevado primero ante el gobernador Félix y, tras dos años, ante su sucesor Porcio Festo.",Hechos 24:27; 25:1
341,Doctrina básica,principiante,oracion-modelo,¿Qué oración enseñó Jesús a sus discípulos como modelo de oración?,El Padre Nuestro,El Salmo 23,El Shema,La bendición sacerdotal,A,Jesús enseñó a sus discípulos a orar diciendo: 'Padre nuestro que estás en los cielos...',Mateo 6:9-13
342,Doctrina básica,principiante,gran-mandamiento,"Según Jesús, ¿cuál es el segundo mandamiento más importante, semejante al primero?",No mentirás,Amarás a tu prójimo como a ti mismo,Honrarás a tus padres,Guardarás el sábado,B,"Jesús dijo que el segundo mandamiento, semejante al primero, es amar al prójimo como a uno mismo.",Mateo 22:39
343,Doctrina básica,principiante,gran-comision,"¿Qué instrucción final dio Jesús a sus discípulos antes de ascender al cielo, conocida como la 'Gran Comisión'?",Quedarse en Jerusalén para siempre,Ir y hacer discípulos a todas las naciones,Construir un templo nuevo,Esperar la segunda venida sin actuar,B,"Jesús mandó a sus discípulos ir y hacer discípulos a todas las naciones, bautizándolos y enseñándoles a guardar sus mandamientos.",Mateo 28:19-20
344,Doctrina básica,intermedio,don-lenguas,"Según 1 Corintios 12, ¿qué es el Espíritu Santo quien reparte a cada creyente según su voluntad?",Riquezas materiales,Dones espirituales,Autoridad política,Sabiduría filosófica,B,"Pablo enseña que hay diversidad de dones, pero el mismo Espíritu reparte a cada uno en particular como él quiere.","1 Corintios 12:4,11"
345,Doctrina básica,intermedio,cuerpo-cristo,¿Con qué imagen compara Pablo a la iglesia en 1 Corintios 12?,Un ejército,Un cuerpo con muchos miembros,Un rebaño de ovejas,Un edificio de piedra,B,"Pablo compara a la iglesia con un cuerpo que tiene muchos miembros, cada uno con una función diferente pero necesaria.",1 Corintios 12:12-14
346,Doctrina básica,intermedio,armadura-completa,"En Efesios 6, ¿qué se identifica como 'la espada del Espíritu'?",La oración,La palabra de Dios,La fe,El amor,B,Pablo llama a la palabra de Dios la espada del Espíritu dentro de la armadura completa del creyente.,Efesios 6:17
347,Doctrina básica,avanzado,doctrina-resurreccion,"Según 1 Corintios 15, ¿qué ocurre con el cuerpo del creyente en la resurrección final?",Desaparece por completo,Se siembra en corrupción y resucita en incorrupción,Permanece igual sin cambios,Se convierte en espíritu puro sin cuerpo,B,"Pablo enseña que el cuerpo se siembra mortal y corruptible, pero resucita incorruptible, en un cuerpo espiritual glorificado.",1 Corintios 15:42-44
348,Doctrina básica,avanzado,doctrina-eleccion,¿Qué término usa Pablo en Efesios 1 para describir que Dios escogió a los creyentes 'antes de la fundación del mundo'?,Elección,Bautismo,Circuncisión,Consagración anual,A,"Pablo escribe que Dios nos escogió en Cristo antes de la fundación del mundo, para ser santos y sin mancha delante de él.",Efesios 1:4
349,Doctrina básica,avanzado,doctrina-reconciliacion,"Según 2 Corintios 5, ¿qué ministerio ha dado Dios a los creyentes respecto al mundo?",El ministerio del juicio,El ministerio de la reconciliación,El ministerio de la ley,El ministerio del silencio,B,"Pablo escribe que Dios nos dio el ministerio de la reconciliación, siendo embajadores de Cristo ante el mundo.",2 Corintios 5:18-20
350,Doctrina básica,experto,doctrina-encarnacion,¿Qué pasaje de Filipenses describe la 'kénosis' o auto-humillación de Cristo al tomar forma de siervo?,Filipenses 2:6-8,Filipenses 4:13,Filipenses 3:20,Filipenses 1:21,A,"Pablo describe cómo Cristo, siendo en forma de Dios, se despojó a sí mismo tomando forma de siervo y se humilló hasta la muerte de cruz.",Filipenses 2:6-8
351,Doctrina básica,experto,doctrina-cristologica,"¿Qué carta del Nuevo Testamento describe a Cristo como 'la imagen del Dios invisible, el primogénito de toda creación'?",Efesios,Colosenses,Filipenses,Gálatas,B,"Pablo describe en Colosenses la supremacía de Cristo, llamándolo imagen del Dios invisible y primogénito de toda creación.",Colosenses 1:15
352,Doctrina básica,experto,doctrina-escatologica,¿Qué epístola de Pablo describe con más detalle el 'arrebatamiento' de los creyentes al encuentro del Señor en el aire?,1 Corintios,1 Tesalonicenses,Filipenses,2 Timoteo,B,Pablo describe en 1 Tesalonicenses que los creyentes serán arrebatados en las nubes para encontrarse con el Señor en el aire.,1 Tesalonicenses 4:16-17
353,Doctrina básica,principiante,significado-cristo,¿Cuál es el significado del título 'Hijo del Hombre' que Jesús usó frecuentemente para referirse a sí mismo?,Un simple título de humildad sin significado profético,Un título mesiánico con raíces en la profecía de Daniel,Un insulto que los fariseos le daban,Un título exclusivo de los ángeles,B,"Jesús usó el título 'Hijo del Hombre', que tiene raíces en la visión profética de Daniel sobre una figura celestial que recibe un reino eterno.",Daniel 7:13-14; Mateo 26:64
354,Doctrina básica,intermedio,doctrina-perdon,"Según Mateo 18, ¿cuántas veces dijo Jesús que debemos perdonar a quien nos ofende?",7 veces,Setenta veces siete,3 veces,Una sola vez por ofensa,B,"Ante la pregunta de Pedro sobre perdonar hasta siete veces, Jesús respondió que se debía perdonar hasta setenta veces siete.",Mateo 18:21-22
355,Doctrina básica,avanzado,doctrina-ley-gracia,"Según Gálatas 3, ¿qué función cumplía la ley antes de la venida de Cristo, comparada con un 'ayo'?",Salvar a las personas por sus obras,Guiarnos como un ayo hasta que viniera Cristo,Reemplazar la fe por completo,Anular las promesas hechas a Abraham,B,"Pablo enseña que la ley fue nuestro ayo, para llevarnos a Cristo, a fin de que fuésemos justificados por la fe.",Gálatas 3:24-25
356,Doctrina básica,intermedio,doctrina-mayordomia,"Según 2 Corintios 9, ¿qué actitud debe tener el creyente al dar sus ofrendas?",Con tristeza y obligación,"Con alegría, no por obligación",Solo si tiene mucho dinero,En secreto absoluto sin excepción,B,"Pablo enseña que cada uno debe dar como propuso en su corazón, no con tristeza ni por necesidad, porque Dios ama al dador alegre.",2 Corintios 9:7
357,Doctrina básica,avanzado,doctrina-sacerdocio-creyentes,¿Qué término usa Pedro para describir a todos los creyentes en relación con su función espiritual colectiva?,Sacerdocio real,Ejército celestial,Consejo de ancianos,Casta privilegiada,A,"Pedro describe a los creyentes como linaje escogido, real sacerdocio, nación santa, pueblo adquirido por Dios.",1 Pedro 2:9
358,Doctrina básica,experto,doctrina-fe-esperanza,¿Qué capítulo de Hebreos es conocido como el 'capítulo de la fe' por enumerar ejemplos de héroes de la fe del Antiguo Testamento?,Hebreos 11,Hebreos 9,Hebreos 13,Hebreos 7,A,Hebreos 11 define la fe y enumera numerosos ejemplos de personajes del Antiguo Testamento que vivieron por fe.,Hebreos 11:1-40
359,Doctrina básica,principiante,doctrina-salvacion,"Según Efesios 2, ¿por qué medio somos salvos, según Pablo?",Por nuestras propias buenas obras,"Por gracia, mediante la fe",Por guardar la ley completamente,Por nacer en una familia religiosa,B,"Pablo declara que por gracia somos salvos por medio de la fe, y esto no de nosotros mismos, pues es don de Dios.",Efesios 2:8-9
360,Doctrina básica,intermedio,doctrina-adopcion,¿Qué término usa Pablo para describir el privilegio de los creyentes de ser incorporados a la familia de Dios?,Adopción como hijos,Naturalización religiosa,Membresía honoraria,Servidumbre voluntaria,A,Pablo enseña que en amor Dios nos predestinó para ser adoptados como hijos suyos por medio de Jesucristo.,Efesios 1:5
361,Milagros,principiante,milagro-provision,¿Con cuántos panes y peces alimentó Jesús a unas 4000 personas en una segunda multiplicación?,5 panes y 2 peces,7 panes y unos pocos peces,3 panes y 5 peces,10 panes y 4 peces,B,"En esta segunda multiplicación, Jesús usó siete panes y unos pocos pececillos para alimentar a unas cuatro mil personas.",Mateo 15:34-38
362,Milagros,principiante,milagro-agua-vino,¿Quién le dijo a los sirvientes en las bodas de Caná 'haced todo lo que os dijere'?,El maestresala,"María, la madre de Jesús",Un discípulo,El novio,B,"María, madre de Jesús, dijo a los sirvientes que hicieran todo lo que él les dijera, antes de convertir el agua en vino.",Juan 2:5
363,Milagros,principiante,milagro-expulsion,¿Qué hizo Jesús con un hombre poseído por muchos demonios llamados 'Legión'?,Lo ignoró,"Expulsó los demonios, que entraron en una piara de cerdos",Lo mandó a un templo pagano,Lo encerró con cadenas,B,"Jesús permitió que los demonios llamados Legión entraran en una piara de cerdos, que luego se precipitó al mar.","Marcos 5:9,13"
364,Milagros,intermedio,milagro-fe-gentil,"¿Qué mujer gentil pidió con gran fe la sanidad de su hija endemoniada, comparándose con los perrillos que comen las migajas?",Una mujer cananea (sirofenicia),Una mujer samaritana,La esposa de un centurión,Una viuda de Naín,A,"La mujer cananea insistió en su fe diciendo que hasta los perrillos comen de las migajas que caen de la mesa de sus amos, y su hija fue sanada.",Mateo 15:22-28
365,Milagros,intermedio,milagro-oido-mudo,"¿A quién sanó Jesús que era sordo y tenía dificultad para hablar, tocando sus oídos y su lengua?",Un ciego de Betsaida,Un sordomudo de Decápolis,Un paralítico de Capernaum,Un leproso samaritano,B,"Jesús tomó aparte al sordomudo, puso sus dedos en los oídos de él y tocó su lengua, y dijo 'Efata', y este comenzó a hablar bien.",Marcos 7:32-35
366,Milagros,intermedio,milagro-mano-seca,"¿Qué hombre con la mano seca fue sanado por Jesús en sábado, causando indignación en los fariseos?",No se menciona su nombre,Bartimeo,Malco,Simón,A,"Jesús sanó a un hombre que tenía la mano seca en una sinagoga en sábado, y esto causó gran enojo en los fariseos; el nombre del hombre no se menciona.",Marcos 3:1-5
367,Milagros,intermedio,milagro-hidropesia,"¿A quién sanó Jesús de hidropesía en sábado, en casa de un principal de los fariseos?",No se menciona su nombre,Simeón,Nicodemo,Lázaro,A,"Estando en casa de un principal de los fariseos en sábado, Jesús sanó a un hombre enfermo de hidropesía; su nombre no se registra.",Lucas 14:1-4
368,Milagros,avanzado,milagro-oreja,"¿Quién sanó milagrosamente la oreja del siervo del sumo sacerdote, cortada por Pedro en el momento del arresto de Jesús?",Jesús,Un ángel,Juan,"Nadie, la herida no fue sanada",A,"Jesús tocó la oreja del siervo llamado Malco y lo sanó, deteniendo así la violencia en el momento de su arresto.",Lucas 22:50-51; Juan 18:10
369,Milagros,avanzado,milagro-pesca,"¿Qué milagro de pesca realizó Jesús después de su resurrección, junto al mar de Tiberias?",Convirtió peces en panes,Hizo que la red se llenara de 153 peces grandes,Caminó sobre los peces,Multiplicó los peces infinitamente,B,"Tras una noche sin pescar nada, siguiendo la instrucción de Jesús echaron la red y sacaron ciento cincuenta y tres peces grandes.","Juan 21:6,11"
370,Milagros,avanzado,milagro-moneda,¿Qué milagro relacionado con el pago de impuestos hizo Jesús a través de Pedro y un pez?,Hizo aparecer una moneda en la boca de un pez,Convirtió agua en monedas de oro,Multiplicó las monedas del templo,Hizo invisible el dinero de los cobradores,A,"Jesús instruyó a Pedro a pescar, y en la boca del primer pez que sacara encontraría una moneda para pagar el impuesto del templo por ambos.",Mateo 17:24-27
371,Milagros,avanzado,milagro-higuera,"¿Qué hizo Jesús con una higuera que no tenía fruto, como acto simbólico de juicio?",La regó abundantemente,"La maldijo, y se secó",La trasplantó,La bendijo para que diera más fruto,B,"Jesús maldijo la higuera estéril, y al día siguiente los discípulos vieron que se había secado desde las raíces.","Marcos 11:13-14,20"
372,Milagros,experto,milagro-libertad-carcel,"¿Cómo salieron Pedro y Juan de la cárcel tras ser encerrados por predicar en el templo, según Hechos 5?",Sobornaron a los guardias,Un ángel del Señor abrió las puertas de noche,Escaparon por un túnel,Fueron liberados por orden del Sanedrín,B,"Un ángel del Señor abrió de noche las puertas de la cárcel y los sacó, diciéndoles que fueran a predicar en el templo.",Hechos 5:19-20
373,Milagros,experto,milagro-liberacion-pedro,"¿Cómo fue liberado Pedro de la cárcel de Herodes Agripa, mientras la iglesia oraba por él?",Escapó disfrazado,Un ángel lo despertó y las cadenas cayeron de sus manos,Fue liberado por Cornelio,Sobornó a los soldados,B,"Un ángel del Señor se presentó, hirió a Pedro en el costado para despertarlo, y las cadenas cayeron de sus manos mientras las puertas se abrían solas.",Hechos 12:6-10
374,Milagros,experto,milagro-terremoto-carcel,¿Qué milagro liberó las cadenas de Pablo y Silas mientras oraban en la cárcel de Filipos?,Un ángel los sacó en silencio,Un gran terremoto sacudió los cimientos y las puertas se abrieron,Sobornaron al carcelero,Fueron liberados por orden judicial,B,"A medianoche, mientras oraban y cantaban himnos, sobrevino un gran terremoto que abrió todas las puertas y soltó las cadenas de todos.",Hechos 16:25-26
375,Milagros,principiante,milagro-lepra,"¿A quién sanó Jesús de lepra al tocarlo, diciendo 'quiero, sé limpio'?",Un leproso que se le acercó suplicando,Naamán el sirio,Un samaritano específico,Un fariseo enfermo,A,"Un leproso vino a Jesús rogándole, y Jesús, movido a compasión, extendió la mano, lo tocó y dijo 'Quiero, sé limpio'.",Marcos 1:40-42
376,Milagros,intermedio,milagro-oidos-hijo-viuda,¿Qué hizo Jesús con el siervo del sumo sacerdote Malco después de que Pedro le cortara la oreja?,Lo ignoró por completo,Lo sanó tocándolo,Lo reprendió pero no lo sanó,Le pidió a Pedro que lo curara,B,"Jesús tocó la oreja de Malco y la sanó, mostrando su poder incluso en el momento de su propio arresto.",Lucas 22:50-51
377,Milagros,avanzado,milagro-viento-caminar,¿Qué hizo Jesús inmediatamente después de caminar sobre el agua y subir a la barca con los discípulos?,El viento cesó,Empezó una nueva tormenta,Regresaron a Jerusalén,Multiplicó el pan otra vez,A,"Cuando Jesús subió a la barca, el viento cesó, y los que estaban en la barca se postraron reconociendo que era el Hijo de Dios.",Mateo 14:32-33
378,Milagros,experto,milagro-mudo-endemoniado,"¿Qué milagro específico realizó Jesús con un endemoniado mudo, provocando la acusación de los fariseos de que expulsaba demonios por Beelzebú?",Le devolvió el habla al expulsar al demonio,Lo hizo invisible temporalmente,Lo convirtió en sanador,Le dio el don de lenguas,A,"Jesús expulsó al demonio que hacía mudo a un hombre, y este habló, lo cual llevó a los fariseos a acusarlo falsamente de actuar por el príncipe de los demonios.",Mateo 12:22-24
379,Milagros,principiante,milagro-suegra-simon,"¿En qué ciudad vivía la suegra de Pedro, sanada de fiebre por Jesús?",Jerusalén,Capernaum,Betania,Jope,B,"El relato ubica la casa de Pedro, donde estaba su suegra enferma, en Capernaum, junto al mar de Galilea.","Marcos 1:21,29-31"
380,Milagros,intermedio,milagro-diez-leprosos-samaritano,"De los diez leprosos sanados por Jesús, ¿de qué nacionalidad era el único que regresó a agradecer?",Judío,Samaritano,Romano,Sirio,B,"El texto especifica que el que regresó a dar gracias, glorificando a Dios a gran voz, era samaritano.",Lucas 17:15-16
381,Geografía,principiante,geografia-nacimiento-jb,"¿En qué región habitaban Zacarías y Elisabet, padres de Juan el Bautista?",En la región montañosa de Judea,En Galilea,En Samaria,En Perea,A,Lucas ubica a Zacarías y Elisabet en una ciudad de la región montañosa de Judea.,Lucas 1:39-40
382,Geografía,principiante,geografia-transfiguracion,"¿En qué región general ocurrió la transfiguración de Jesús, según el contexto del relato?",Cerca de Cesarea de Filipo,En Jerusalén,En el desierto de Judea,En Samaria,A,El relato de la transfiguración sigue inmediatamente a los eventos ocurridos cerca de Cesarea de Filipo.,Mateo 16:13; 17:1
383,Geografía,intermedio,geografia-samaritana,¿En qué ciudad tuvo Jesús su encuentro con la mujer samaritana en el pozo de Jacob?,Siquem (Sicar),Samaria (la ciudad),Betania,Jope,A,"Jesús llegó a una ciudad de Samaria llamada Sicar, cerca del pozo que Jacob había dado a su hijo José.",Juan 4:5-6
384,Geografía,intermedio,geografia-lazaro,"¿En qué pueblo cercano a Jerusalén vivían Lázaro, Marta y María?",Betania,Betsaida,Belén,Emaús,A,"Betania era la aldea de María y su hermana Marta, donde también vivía su hermano Lázaro.",Juan 11:1
385,Geografía,intermedio,geografia-emaus,¿A qué pueblo se dirigían dos discípulos cuando Jesús resucitado se les apareció en el camino?,Emaús,Betania,Jope,Cesarea,A,Dos de los discípulos iban camino a una aldea llamada Emaús cuando Jesús se les acercó sin que lo reconocieran al principio.,Lucas 24:13-15
386,Geografía,avanzado,geografia-primer-viaje,¿En qué isla comenzó Pablo su primer viaje misionero junto con Bernabé?,Malta,Chipre,Creta,Rodas,B,"Pablo y Bernabé, enviados por el Espíritu Santo, partieron desde Antioquía y comenzaron su viaje predicando en Chipre.",Hechos 13:4
387,Geografía,avanzado,geografia-corinto,"¿En qué ciudad griega, importante centro comercial, Pablo trabajó como fabricante de tiendas junto a Aquila y Priscila?",Atenas,Corinto,Éfeso,Tesalónica,B,"En Corinto, Pablo encontró a Aquila y Priscila y trabajó con ellos, pues eran del mismo oficio de hacer tiendas.",Hechos 18:1-3
388,Geografía,avanzado,geografia-tarso,¿En qué ciudad de Cilicia nació el apóstol Pablo?,Antioquía,Tarso,Listra,Derbe,B,"Pablo se identifica a sí mismo como natural de Tarso de Cilicia, ciudad no insignificante.",Hechos 21:39
389,Geografía,experto,geografia-roma-final,"¿En qué ciudad terminó Pablo predicando el evangelio bajo arresto domiciliario, según el final del libro de Hechos?",Jerusalén,Roma,Cesarea,Antioquía,B,"El libro de Hechos concluye con Pablo en Roma, predicando el reino de Dios con toda confianza, sin impedimento.",Hechos 28:30-31
390,Geografía,experto,geografia-siete-iglesias,¿Cuál de las siguientes NO es una de las siete iglesias de Asia mencionadas en Apocalipsis 2-3?,Éfeso,Esmirna,Corinto,Laodicea,C,"Las siete iglesias mencionadas son Éfeso, Esmirna, Pérgamo, Tiatira, Sardis, Filadelfia y Laodicea; Corinto no está entre ellas.",Apocalipsis 1:11
391,Geografía,principiante,geografia-jordania,"¿En qué región, al otro lado del río Jordán, predicó Juan el Bautista?",En Betábara (Betania más allá del Jordán),En Jerusalén,En Galilea,En Samaria,A,"Juan bautizaba en Betábara, del otro lado del Jordán, según se registra en el evangelio de Juan.",Juan 1:28
392,Geografía,intermedio,geografia-cesarea-filipo,¿En qué región Jesús preguntó a sus discípulos '¿Quién dice la gente que es el Hijo del Hombre?'?,Cesarea de Filipo,Jerusalén,Capernaum,Betsaida,A,"Viniendo a la región de Cesarea de Filipo, Jesús preguntó a sus discípulos quién decían los hombres que era él.",Mateo 16:13
393,Geografía,avanzado,geografia-decapolis,"¿Qué región de diez ciudades, conocida por su influencia grecorromana, visitó Jesús en varias ocasiones?",Decápolis,Perea,Idumea,Traconítide,A,"Decápolis, región de diez ciudades, es mencionada como uno de los lugares donde Jesús ministró y su fama se extendió.",Marcos 5:20; 7:31
394,Geografía,avanzado,geografia-genesaret,¿Cómo se llama la región fértil junto al mar de Galilea donde Jesús desembarcó tras calmar la tempestad?,Genesaret,Decápolis,Perea,Idumea,A,"Después de cruzar el mar, arribaron a tierra de Genesaret, donde la gente reconoció a Jesús y trajo a los enfermos.",Mateo 14:34-35
395,Geografía,experto,geografia-antioquia-pisidia,"¿En qué ciudad, distinta de la Antioquía de Siria, predicó Pablo su primer discurso registrado en una sinagoga?",Antioquía de Pisidia,Iconio,Listra,Perge,A,"En la sinagoga de Antioquía de Pisidia, Pablo predicó un extenso discurso resumiendo la historia de Israel y anunciando a Cristo.",Hechos 13:14-16
396,Geografía,principiante,geografia-belen-significado,"¿Qué significa el nombre 'Belén', ciudad donde nació Jesús?",Casa de pan,Ciudad de David solamente,Monte santo,Fuente de agua,A,"Belén significa literalmente 'casa de pan' en hebreo, un nombre significativo dado que allí nació 'el pan de vida'.",Referencia: significado del nombre; Juan 6:35
397,Geografía,intermedio,geografia-siquem,"¿En qué ciudad fueron sepultados los huesos de José, llevados por Israel desde Egipto?",Betel,Siquem,Hebrón,Silo,B,"Los huesos de José, que los israelitas habían traído de Egipto, los sepultaron en Siquem, en el terreno que Jacob había comprado.",Josué 24:32
398,Geografía,avanzado,geografia-hebron,"¿En qué ciudad reinó David durante los primeros siete años de su reinado, antes de trasladar la capital a Jerusalén?",Hebrón,Belén,Siquem,Gilgal,A,David reinó en Hebrón sobre la casa de Judá durante siete años y seis meses antes de ser ungido rey sobre todo Israel en Jerusalén.,2 Samuel 2:11; 5:5
399,Geografía,experto,geografia-gabaa,"¿En qué ciudad, tierra natal del rey Saúl, estableció este su capital durante su reinado?",Gabaa,Mizpa,Ramá,Silo,A,"Gabaa de Saúl, su ciudad natal en el territorio de Benjamín, fue el centro de su gobierno durante su reinado.",1 Samuel 10:26; 15:34
400,Geografía,principiante,geografia-monte-sion,"¿Qué nombre recibe la colina de Jerusalén asociada con la ciudad de David y, simbólicamente, con la morada de Dios?",Monte Sion,Monte de la Tentación,Monte Gerizim,Monte Ebal,A,Monte Sion es el nombre dado a la fortaleza que David tomó y que se convirtió en sinónimo de Jerusalén y la presencia de Dios.,2 Samuel 5:7; Salmo 48:2
401,Profecías,principiante,profecia-belen,¿Qué profeta menor anunció específicamente que el gobernante de Israel nacería en Belén?,Amós,Miqueas,Oseas,Joel,B,Miqueas profetizó que de Belén Efrata saldría el que sería Señor en Israel.,Miqueas 5:2
402,Profecías,intermedio,profecia-huida-egipto,¿Qué profecía del Antiguo Testamento se cumplió cuando la familia de Jesús huyó a Egipto y luego regresó?,'De Egipto llamé a mi Hijo','El justo por la fe vivirá','No dejarás mi alma en el Seol',"'Consolaos, consolaos, pueblo mío'",A,"Mateo cita la profecía de Oseas: 'De Egipto llamé a mi Hijo', cumplida en el regreso de Jesús desde Egipto.",Oseas 11:1; Mateo 2:14-15
403,Profecías,intermedio,profecia-raquel,¿Qué profecía del Antiguo Testamento se cita en Mateo al describir el llanto por los niños muertos en Belén?,'Raquel que llora por sus hijos','El justo vivirá por su fe','Dios está con nosotros','Voz que clama en el desierto',A,"Mateo cita a Jeremías: 'Voz fue oída en Ramá... Raquel que llora por sus hijos', cumplida en la matanza de los inocentes.",Jeremías 31:15; Mateo 2:17-18
404,Profecías,avanzado,profecia-voz-desierto,"¿Qué profeta anunció la 'voz que clama en el desierto: preparad el camino de Jehová', cumplida en Juan el Bautista?",Malaquías,Isaías,Miqueas,Joel,B,"Isaías profetizó sobre una voz que clamaría en el desierto preparando el camino del Señor, aplicada a Juan el Bautista en los evangelios.",Isaías 40:3; Mateo 3:3
405,Profecías,avanzado,profecia-galilea,"¿Qué profeta anunció que la 'Galilea de los gentiles' vería una gran luz, cumplida en el inicio del ministerio de Jesús?",Isaías,Jeremías,Ezequiel,Miqueas,A,"Isaías profetizó que el pueblo que andaba en tinieblas, en la región de Galilea de los gentiles, vería una gran luz.",Isaías 9:1-2; Mateo 4:15-16
406,Profecías,experto,profecia-esclavo,"¿Qué profecía del Antiguo Testamento describe al Mesías siendo 'llevado como cordero al matadero, y no abrió su boca'?",Isaías 53:7,Salmo 22:1,Zacarías 12:10,Salmo 110:1,A,Isaías describe al siervo sufriente como cordero llevado al matadero que no abrió su boca ante sus opresores.,Isaías 53:7
407,Profecías,experto,profecia-salmo22,"¿Qué salmo profético describe con notable detalle el sufrimiento de la crucifixión, incluyendo 'horadaron mis manos y mis pies'?",Salmo 22,Salmo 23,Salmo 110,Salmo 2,A,"El Salmo 22 contiene descripciones proféticas sorprendentes del sufrimiento del crucificado, siglos antes de que la crucifixión existiera como práctica.",Salmo 22:16
408,Profecías,experto,profecia-traspasado,"¿Qué profeta anunció que 'mirarán a mí, a quien traspasaron', profecía citada en relación con la crucifixión de Jesús?",Zacarías,Malaquías,Hageo,Nahúm,A,"Zacarías profetizó que Israel miraría al que traspasaron y llorarían por él, citado en el Nuevo Testamento en referencia a la crucifixión.",Zacarías 12:10; Juan 19:37
